"municipio_ibge","municipio","regiao_intermediaria","status","google_busca_1","google_busca_2","google_busca_3","google_busca_4","google_busca_5","consultado_em","candidatos","observacoes"
"3551108","Sarapuí","Sorocaba","a pesquisar","https://www.google.com/maps/search/?api=1&query=arena%20beach%20tennis%20em%20Sarapu%C3%AD%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20futev%C3%B4lei%20em%20Sarapu%C3%AD%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=quadra%20v%C3%B4lei%20de%20praia%20em%20Sarapu%C3%AD%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20esportes%20de%20areia%20em%20Sarapu%C3%AD%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=beach%20sports%20em%20Sarapu%C3%AD%2C%20S%C3%A3o%20Paulo%2C%20Brasil","","",""
"3551207","Sarutaiá","Marília","a pesquisar","https://www.google.com/maps/search/?api=1&query=arena%20beach%20tennis%20em%20Sarutai%C3%A1%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20futev%C3%B4lei%20em%20Sarutai%C3%A1%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=quadra%20v%C3%B4lei%20de%20praia%20em%20Sarutai%C3%A1%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20esportes%20de%20areia%20em%20Sarutai%C3%A1%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=beach%20sports%20em%20Sarutai%C3%A1%2C%20S%C3%A3o%20Paulo%2C%20Brasil","","",""
"3551306","Sebastianópolis do Sul","São José do Rio Preto","a pesquisar","https://www.google.com/maps/search/?api=1&query=arena%20beach%20tennis%20em%20Sebastian%C3%B3polis%20do%20Sul%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20futev%C3%B4lei%20em%20Sebastian%C3%B3polis%20do%20Sul%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=quadra%20v%C3%B4lei%20de%20praia%20em%20Sebastian%C3%B3polis%20do%20Sul%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20esportes%20de%20areia%20em%20Sebastian%C3%B3polis%20do%20Sul%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=beach%20sports%20em%20Sebastian%C3%B3polis%20do%20Sul%2C%20S%C3%A3o%20Paulo%2C%20Brasil","","",""
"3551405","Serra Azul","Ribeirão Preto","a pesquisar","https://www.google.com/maps/search/?api=1&query=arena%20beach%20tennis%20em%20Serra%20Azul%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20futev%C3%B4lei%20em%20Serra%20Azul%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=quadra%20v%C3%B4lei%20de%20praia%20em%20Serra%20Azul%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20esportes%20de%20areia%20em%20Serra%20Azul%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=beach%20sports%20em%20Serra%20Azul%2C%20S%C3%A3o%20Paulo%2C%20Brasil","","",""
"3551603","Serra Negra","Campinas","a pesquisar","https://www.google.com/maps/search/?api=1&query=arena%20beach%20tennis%20em%20Serra%20Negra%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20futev%C3%B4lei%20em%20Serra%20Negra%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=quadra%20v%C3%B4lei%20de%20praia%20em%20Serra%20Negra%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20esportes%20de%20areia%20em%20Serra%20Negra%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=beach%20sports%20em%20Serra%20Negra%2C%20S%C3%A3o%20Paulo%2C%20Brasil","","",""
"3551504","Serrana","Ribeirão Preto","a pesquisar","https://www.google.com/maps/search/?api=1&query=arena%20beach%20tennis%20em%20Serrana%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20futev%C3%B4lei%20em%20Serrana%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=quadra%20v%C3%B4lei%20de%20praia%20em%20Serrana%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20esportes%20de%20areia%20em%20Serrana%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=beach%20sports%20em%20Serrana%2C%20S%C3%A3o%20Paulo%2C%20Brasil","","",""
"3551702","Sertãozinho","Ribeirão Preto","a pesquisar","https://www.google.com/maps/search/?api=1&query=arena%20beach%20tennis%20em%20Sert%C3%A3ozinho%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20futev%C3%B4lei%20em%20Sert%C3%A3ozinho%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=quadra%20v%C3%B4lei%20de%20praia%20em%20Sert%C3%A3ozinho%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20esportes%20de%20areia%20em%20Sert%C3%A3ozinho%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=beach%20sports%20em%20Sert%C3%A3ozinho%2C%20S%C3%A3o%20Paulo%2C%20Brasil","","",""
"3551801","Sete Barras","Sorocaba","a pesquisar","https://www.google.com/maps/search/?api=1&query=arena%20beach%20tennis%20em%20Sete%20Barras%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20futev%C3%B4lei%20em%20Sete%20Barras%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=quadra%20v%C3%B4lei%20de%20praia%20em%20Sete%20Barras%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20esportes%20de%20areia%20em%20Sete%20Barras%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=beach%20sports%20em%20Sete%20Barras%2C%20S%C3%A3o%20Paulo%2C%20Brasil","","",""
"3551900","Severínia","Ribeirão Preto","a pesquisar","https://www.google.com/maps/search/?api=1&query=arena%20beach%20tennis%20em%20Sever%C3%ADnia%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20futev%C3%B4lei%20em%20Sever%C3%ADnia%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=quadra%20v%C3%B4lei%20de%20praia%20em%20Sever%C3%ADnia%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20esportes%20de%20areia%20em%20Sever%C3%ADnia%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=beach%20sports%20em%20Sever%C3%ADnia%2C%20S%C3%A3o%20Paulo%2C%20Brasil","","",""
"3552007","Silveiras","São José dos Campos","a pesquisar","https://www.google.com/maps/search/?api=1&query=arena%20beach%20tennis%20em%20Silveiras%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20futev%C3%B4lei%20em%20Silveiras%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=quadra%20v%C3%B4lei%20de%20praia%20em%20Silveiras%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=arena%20esportes%20de%20areia%20em%20Silveiras%2C%20S%C3%A3o%20Paulo%2C%20Brasil","https://www.google.com/maps/search/?api=1&query=beach%20sports%20em%20Silveiras%2C%20S%C3%A3o%20Paulo%2C%20Brasil","","",""
